sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
353000,1,0,0,0,0,0,0
353000,3,0,0,0,0,0,0
353000,5,0,0,0,0,0,0
353000,7,0,0,0,0,0,0
353000,10,0,0,0,0,0,0
353000,11,0,0,0,0,0,0
353000,13,5,124,2,0,1,2
353000,15,0,0,0,0,0,0
354000,1,0,0,0,0,0,0
354000,3,0,0,0,0,0,0
354000,5,9,16626,281,3,294,42494
354000,7,0,0,0,0,0,0
354000,10,7,562,84,2,100,477
354000,11,9,0,19,0,18,189
354000,13,5,76,2,0,45,90
354000,15,9,0,31,0,48,1053
355000,1,7,0,2,0,1,2
355000,3,9,1590,281,150,434,82006
355000,5,9,13571,1276,1000,1000,641041
355000,7,0,0,0,0,0,0
355000,10,7,5297,18,317,463,58290
355000,11,9,7787,261,0,280,30478
355000,13,5,201,2,0,114,291
355000,15,9,105,1040,740,955,449978
356000,1,7,0,2,0,1,2
356000,3,9,0,1120,1000,1000,732548
356000,5,9,13882,117,310,459,315505
356000,7,0,0,0,0,0,0
356000,10,7,4676,17,0,147,1421
356000,11,9,9385,19,0,63,1033
356000,13,5,249,2,0,17,34
356000,15,9,11613,2020,957,957,1407603
357000,1,0,0,0,0,0,0
357000,3,9,10646,2425,1000,1000,1790766
357000,5,9,11375,135,0,166,12634
357000,7,0,0,0,0,0,0
357000,10,7,4609,17,0,120,1082
357000,11,9,11960,52,0,88,3208
357000,13,5,233,2,0,16,32
357000,15,9,14190,611,591,591,538920
358000,1,7,0,2,0,1,2
358000,3,9,11373,2385,1000,1000,2206881
358000,5,9,14070,99,0,124,7231
358000,7,0,0,0,0,0,0
358000,10,7,4416,16,0,136,1370
358000,11,9,12942,205,0,228,19429
358000,13,5,230,2,0,61,122
358000,15,9,11655,213,0,216,24458
359000,1,7,0,2,0,2,4
359000,3,9,8299,1322,1000,1000,1809009
359000,5,9,12054,115,0,135,8671
359000,7,0,0,0,0,0,0
359000,10,7,3876,17,0,129,1217
359000,11,9,11366,235,0,250,22286
359000,13,5,231,2,0,64,128
359000,15,9,13324,222,0,221,26279
360000,1,7,0,2,0,1,2
360000,3,9,3896,1301,999,999,1743832
360000,5,9,12717,118,0,128,8016
360000,7,0,0,0,0,0,0
360000,10,7,4504,17,0,156,1570
360000,11,9,11113,247,0,264,22920
360000,13,5,198,2,0,105,260
360000,15,9,14375,253,0,241,30718
361000,1,0,0,0,0,0,0
361000,3,9,2379,2175,1000,1000,1741405
361000,5,9,12281,112,0,113,6310
361000,7,0,0,0,0,0,0
361000,10,7,4792,17,0,207,2369
361000,11,9,11042,249,0,258,16769
361000,13,5,191,2,0,130,533
361000,15,9,14774,250,0,242,31158
