sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
2484000,2,0,0,0,0,0,0
2484000,5,0,0,0,0,0,0
2484000,8,0,0,0,0,0,0
2484000,11,0,0,0,0,0,0
2484000,14,0,0,0,0,0,0
2484000,17,9,0,2,0,2,4
2484000,19,0,0,0,0,0,0
2484000,32,0,0,0,0,0,0
2485000,2,0,0,0,0,0,0
2485000,5,0,0,0,0,0,0
2485000,8,7,4790,16,0,128,1196
2485000,11,0,0,0,0,0,0
2485000,14,9,4506,31,0,205,2635
2485000,17,0,0,0,0,0,0
2485000,19,0,0,0,0,0,0
2486000,2,0,0,0,0,0,0
2486000,5,0,0,0,0,0,0
2486000,8,7,4800,16,0,161,1491
2486000,11,0,0,0,0,0,0
2486000,14,9,4413,27,0,248,2976
2486000,17,0,0,0,0,0,0
2486000,19,0,0,0,0,0,0
2487000,2,0,0,0,0,0,0
2487000,5,0,0,0,0,0,0
2487000,8,7,4803,17,0,160,1510
2487000,11,0,0,0,0,0,0
2487000,14,9,4079,25,0,252,3095
2487000,17,9,0,2,0,1,2
2487000,19,0,0,0,0,0,0
2488000,2,0,0,0,0,0,0
2488000,5,0,0,0,0,0,0
2488000,8,7,4767,17,0,160,1495
2488000,11,9,0,2,0,1,2
2488000,14,9,3621,23,0,248,3042
2488000,17,9,0,2,0,1,2
2488000,19,0,0,0,0,0,0
2489000,2,0,0,0,0,0,0
2489000,5,0,0,0,0,0,0
2489000,8,7,4774,17,0,160,1490
2489000,11,0,0,0,0,0,0
2489000,14,9,3296,20,0,256,3174
2489000,17,0,0,0,0,0,0
2489000,19,0,0,0,0,0,0
2490000,2,0,0,0,0,0,0
2490000,5,0,0,0,0,0,0
2490000,8,7,4785,17,0,160,1497
2490000,11,0,0,0,0,0,0
2490000,14,9,2844,18,0,251,3062
2490000,17,0,0,0,0,0,0
2490000,19,0,0,0,0,0,0
2490000,33,9,0,2,0,1,2
2491000,2,0,0,0,0,0,0
2491000,5,0,0,0,0,0,0
2491000,8,7,4770,17,0,160,1486
2491000,11,0,0,0,0,0,0
2491000,14,9,2127,15,0,255,3263
2491000,17,0,0,0,0,0,0
2491000,19,9,0,2,0,6,12
2491000,33,0,0,0,0,0,0
2491000,2,0,0,0,0,0,0
2491000,5,0,0,0,0,0,0
2491000,8,7,4770,17,0,160,1486
2491000,11,0,0,0,0,0,0
2491000,14,9,2127,15,0,255,3263
2491000,17,0,0,0,0,0,0
2491000,19,9,0,2,0,6,12
2491000,33,0,0,0,0,0,0
2492000,2,0,0,0,0,0,0
2492000,5,0,0,0,0,0,0
2492000,8,7,4773,17,0,160,1504
2492000,11,0,0,0,0,0,0
2492000,14,9,1322,2,0,252,3177
2492000,17,0,0,0,0,0,0
2492000,19,0,0,0,0,0,0
2492000,33,0,0,0,0,0,0
2493000,2,0,0,0,0,0,0
2493000,5,0,0,0,0,0,0
2493000,8,7,4567,15,0,159,1471
2493000,11,0,0,0,0,0,0
2493000,14,9,1294,3,0,257,3198
2493000,17,9,0,2,0,1,2
2493000,19,0,0,0,0,0,0
2493000,33,0,0,0,0,0,0
2494000,2,0,0,0,0,0,0
2494000,5,0,0,0,0,0,0
2494000,8,7,3966,13,0,157,1464
2494000,11,0,0,0,0,0,0
2494000,14,9,1422,2,0,251,3049
2494000,17,0,0,0,0,0,0
2494000,19,0,0,0,0,0,0
2494000,33,0,0,0,0,0,0
2495000,2,0,0,0,0,0,0
2495000,5,0,0,0,0,0,0
2495000,8,7,3278,10,0,157,1458
2495000,11,0,0,0,0,0,0
2495000,14,9,1421,3,0,258,3295
2495000,17,0,0,0,0,0,0
2495000,19,0,0,0,0,0,0
2495000,33,0,0,0,0,0,0
2496000,2,0,0,0,0,0,0
2496000,5,0,0,0,0,0,0
2496000,8,7,2823,8,0,158,1473
2496000,11,0,0,0,0,0,0
2496000,14,9,1563,2,0,255,3232
2496000,17,9,0,2,0,1,2
2496000,19,0,0,0,0,0,0
2496000,33,0,0,0,0,0,0
2497000,2,0,0,0,0,0,0
2497000,5,0,0,0,0,0,0
2497000,8,7,2319,6,0,158,1470
2497000,11,0,0,0,0,0,0
2497000,14,9,4366,25,0,256,3144
2497000,17,0,0,0,0,0,0
2497000,19,0,0,0,0,0,0
2497000,33,0,0,0,0,0,0
2498000,2,0,0,0,0,0,0
2498000,5,0,0,0,0,0,0
2498000,8,7,1593,3,0,157,1461
2498000,11,9,0,2,0,1,2
2498000,14,9,4603,30,0,249,3049
2498000,17,0,0,0,0,0,0
2498000,19,0,0,0,0,0,0
2498000,33,0,0,0,0,0,0
2499000,2,0,0,0,0,0,0
2499000,5,0,0,0,0,0,0
2499000,8,7,4782,17,0,158,1496
2499000,11,0,0,0,0,0,0
2499000,14,9,4446,28,0,254,3247
2499000,17,0,0,0,0,0,0
2499000,19,0,0,0,0,0,0
2499000,33,0,0,0,0,0,0
2500000,2,0,0,0,0,0,0
2500000,5,0,0,0,0,0,0
2500000,8,7,4773,17,0,160,1483
2500000,11,0,0,0,0,0,0
2500000,14,9,4783,26,0,249,3110
2500000,17,0,0,0,0,0,0
2500000,19,0,0,0,0,0,0
2500000,33,9,0,2,0,33,66
2501000,2,0,0,0,0,0,0
2501000,5,0,0,0,0,0,0
2501000,8,7,4784,16,0,160,1495
2501000,11,0,0,0,0,0,0
2501000,14,9,4405,25,0,248,2985
2501000,17,0,0,0,0,0,0
2501000,19,9,0,2,0,1,2
2501000,33,0,0,0,0,0,0
2502000,2,0,0,0,0,0,0
2502000,5,0,0,0,0,0,0
2502000,8,7,4774,16,0,160,1494
2502000,11,0,0,0,0,0,0
2502000,14,9,4685,28,0,248,3015
2502000,17,0,0,0,0,0,0
2502000,19,0,0,0,0,0,0
2502000,33,0,0,0,0,0,0
2503000,2,0,0,0,0,0,0
2503000,5,0,0,0,0,0,0
2503000,8,7,4779,16,0,160,1488
2503000,11,0,0,0,0,0,0
2503000,14,9,4485,28,0,252,3139
2503000,17,0,0,0,0,0,0
2503000,19,0,0,0,0,0,0
2503000,33,0,0,0,0,0,0
2504000,2,0,0,0,0,0,0
2504000,5,0,0,0,0,0,0
2504000,8,7,4786,17,0,160,1503
2504000,11,0,0,0,0,0,0
2504000,14,9,4590,27,0,265,3357
2504000,17,0,0,0,0,0,0
2504000,19,0,0,0,0,0,0
2504000,33,0,0,0,0,0,0
2505000,2,0,0,0,0,0,0
2505000,5,0,0,0,0,0,0
2505000,8,7,4786,16,0,160,1502
2505000,11,0,0,0,0,0,0
2505000,14,9,4635,31,0,265,3297
2505000,17,9,0,2,0,1,2
2505000,19,0,0,0,0,0,0
2505000,33,0,0,0,0,0,0
2506000,2,0,0,0,0,0,0
2506000,5,0,0,0,0,0,0
2506000,8,7,4770,16,0,161,1495
2506000,11,0,0,0,0,0,0
2506000,14,9,4433,30,0,270,3495
2506000,17,0,0,0,0,0,0
2506000,19,0,0,0,0,0,0
2506000,33,0,0,0,0,0,0
2507000,2,0,0,0,0,0,0
2507000,5,0,0,0,0,0,0
2507000,8,7,4789,17,0,160,1507
2507000,11,0,0,0,0,0,0
2507000,14,9,4791,28,0,276,3556
2507000,17,0,0,0,0,0,0
2507000,19,0,0,0,0,0,0
2507000,33,0,0,0,0,0,0
2508000,2,0,0,0,0,0,0
2508000,5,0,0,0,0,0,0
2508000,8,7,4768,17,0,160,1481
2508000,11,9,0,2,0,33,66
2508000,14,9,4400,30,0,269,3356
2508000,17,0,0,0,0,0,0
2508000,19,0,0,0,0,0,0
2508000,33,0,0,0,0,0,0
2509000,2,0,0,0,0,0,0
2509000,5,0,0,0,0,0,0
2509000,8,7,4793,17,0,160,1498
2509000,11,0,0,0,0,0,0
2509000,14,9,4644,31,0,270,3397
2509000,17,0,0,0,0,0,0
2509000,19,0,0,0,0,0,0
2509000,33,0,0,0,0,0,0
2510000,2,0,0,0,0,0,0
2510000,5,0,0,0,0,0,0
2510000,8,7,4782,16,0,160,1482
2510000,11,0,0,0,0,0,0
2510000,14,9,4497,30,0,276,3538
2510000,17,0,0,0,0,0,0
2510000,19,0,0,0,0,0,0
2510000,33,9,0,2,0,1,2
2511000,2,0,0,0,0,0,0
2511000,5,0,0,0,0,0,0
2511000,8,7,4788,17,0,160,1492
2511000,11,0,0,0,0,0,0
2511000,14,9,4593,29,0,287,3729
2511000,17,0,0,0,0,0,0
2511000,19,9,0,2,0,1,2
2511000,33,0,0,0,0,0,0
2512000,2,0,0,0,0,0,0
2512000,5,0,0,0,0,0,0
2512000,8,7,4776,17,0,160,1500
2512000,11,0,0,0,0,0,0
2512000,14,9,4618,33,0,284,3608
2512000,17,9,0,2,0,1,2
2512000,19,0,0,0,0,0,0
2512000,33,0,0,0,0,0,0
2513000,2,0,0,0,0,0,0
2513000,5,0,0,0,0,0,0
2513000,8,7,4781,17,0,160,1503
2513000,11,0,0,0,0,0,0
2513000,14,9,4631,34,0,294,3940
2513000,17,0,0,0,0,0,0
2513000,19,0,0,0,0,0,0
2513000,33,0,0,0,0,0,0
2514000,2,0,0,0,0,0,0
2514000,5,0,0,0,0,0,0
2514000,8,7,4773,17,0,160,1499
2514000,11,0,0,0,0,0,0
2514000,14,9,4781,31,0,294,3871
2514000,17,0,0,0,0,0,0
2514000,19,0,0,0,0,0,0
2514000,33,0,0,0,0,0,0
2515000,2,0,0,0,0,0,0
2515000,5,0,0,0,0,0,0
2515000,8,7,4784,16,0,160,1485
2515000,11,0,0,0,0,0,0
2515000,14,9,4406,30,0,297,3818
2515000,17,0,0,0,0,0,0
2515000,19,0,0,0,0,0,0
2515000,33,0,0,0,0,0,0
2515000,2,0,0,0,0,0,0
2515000,5,0,0,0,0,0,0
2515000,8,7,4784,16,0,160,1485
2515000,11,0,0,0,0,0,0
2515000,14,9,4406,30,0,297,3818
2515000,17,0,0,0,0,0,0
2515000,19,0,0,0,0,0,0
2515000,33,0,0,0,0,0,0
2516000,2,0,0,0,0,0,0
2516000,5,0,0,0,0,0,0
2516000,8,7,4841,16,0,161,1512
2516000,11,0,0,0,0,0,0
2516000,14,9,4685,33,0,301,3904
2516000,17,0,0,0,0,0,0
2516000,19,0,0,0,0,0,0
2516000,33,0,0,0,0,0,0
2517000,2,0,0,0,0,0,0
2517000,5,0,0,0,0,0,0
2517000,8,7,4724,17,0,161,1504
2517000,11,0,0,0,0,0,0
2517000,14,9,4468,33,0,302,3978
2517000,17,0,0,0,0,0,0
2517000,19,0,0,0,0,0,0
2517000,33,0,0,0,0,0,0
2518000,2,0,0,0,0,0,0
2518000,5,0,0,0,0,0,0
2518000,8,7,4785,17,0,160,1509
2518000,11,9,0,2,0,1,2
2518000,14,9,4810,31,0,301,3965
2518000,17,0,0,0,0,0,0
2518000,19,0,0,0,0,0,0
2518000,33,0,0,0,0,0,0
2519000,2,0,0,0,0,0,0
2519000,5,0,0,0,0,0,0
2519000,8,7,4781,16,0,160,1483
2519000,11,0,0,0,0,0,0
2519000,14,9,4410,29,0,296,3810
2519000,17,0,0,0,0,0,0
2519000,19,0,0,0,0,0,0
2519000,33,0,0,0,0,0,0
2520000,2,0,0,0,0,0,0
2520000,5,0,0,0,0,0,0
2520000,8,7,4788,16,0,160,1492
2520000,11,0,0,0,0,0,0
2520000,14,9,4653,33,0,292,3802
2520000,17,0,0,0,0,0,0
2520000,19,0,0,0,0,0,0
2520000,33,9,0,2,0,1,2
2521000,2,0,0,0,0,0,0
2521000,5,0,0,0,0,0,0
2521000,8,7,4784,17,0,160,1501
2521000,11,0,0,0,0,0,0
2521000,14,9,4449,33,0,293,3870
2521000,17,0,0,0,0,0,0
2521000,19,9,0,2,0,1,2
