sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
218000,1,0,0,0,0,0,0
218000,3,0,0,0,0,0,0
218000,6,0,0,0,0,0,0
218000,9,0,0,0,0,0,0
218000,10,0,0,0,0,0,0
218000,13,0,0,0,0,0,0
218000,15,0,0,0,0,0,0
218000,17,0,0,0,0,0,0
219000,1,5,163,2,0,1,2
219000,3,0,0,0,0,0,0
219000,6,7,243,2,0,11,22
219000,9,0,0,0,0,0,0
219000,10,0,0,0,0,0,0
219000,13,0,0,0,0,0,0
219000,15,0,0,0,0,0,0
219000,17,0,0,0,0,0,0
220000,1,5,163,2,0,1,2
220000,3,0,0,0,0,0,0
220000,6,7,200,2,0,20,40
220000,9,7,3971,13,0,141,1288
220000,10,0,0,0,0,0,0
220000,13,0,0,0,0,0,0
220000,15,0,0,0,0,0,0
220000,17,0,0,0,0,0,0
221000,1,5,163,2,0,1,2
221000,3,0,0,0,0,0,0
221000,6,7,241,2,0,20,40
221000,9,7,3281,10,0,158,1467
221000,10,0,0,0,0,0,0
221000,13,0,0,0,0,0,0
221000,15,0,0,0,0,0,0
221000,17,0,0,0,0,0,0
222000,1,5,163,2,0,1,2
222000,3,0,0,0,0,0,0
222000,6,7,210,2,0,20,40
222000,9,7,2835,7,0,159,1504
222000,10,0,0,0,0,0,0
222000,13,0,0,0,0,0,0
222000,15,0,0,0,0,0,0
222000,17,0,0,0,0,0,0
223000,1,5,163,2,0,1,2
223000,3,0,0,0,0,0,0
223000,6,7,245,2,0,21,42
223000,9,7,2125,5,0,158,1498
223000,10,0,0,0,0,0,0
223000,13,0,0,0,0,0,0
223000,15,0,0,0,0,0,0
223000,17,0,0,0,0,0,0
224000,1,5,163,2,0,1,2
224000,3,0,0,0,0,0,0
224000,6,7,239,2,0,20,40
224000,9,7,1334,2,0,159,1529
224000,10,0,0,0,0,0,0
224000,13,0,0,0,0,0,0
224000,15,0,0,0,0,0,0
224000,17,0,0,0,0,0,0
225000,1,5,163,2,0,1,2
225000,3,0,0,0,0,0,0
225000,6,7,245,2,0,23,46
225000,9,7,4766,17,0,160,1513
225000,10,0,0,0,0,0,0
225000,13,0,0,0,0,0,0
225000,15,0,0,0,0,0,0
225000,17,0,0,0,0,0,0
225000,1,5,163,2,0,1,2
225000,3,0,0,0,0,0,0
225000,6,7,245,2,0,23,46
225000,9,7,4766,17,0,160,1513
225000,10,0,0,0,0,0,0
225000,13,0,0,0,0,0,0
225000,15,0,0,0,0,0,0
225000,17,0,0,0,0,0,0
226000,1,5,163,2,0,2,4
226000,3,0,0,0,0,0,0
226000,6,7,210,2,0,27,54
226000,9,7,4793,17,0,162,1532
226000,10,0,0,0,0,0,0
226000,13,0,0,0,0,0,0
226000,15,9,0,2,0,1,2
226000,17,0,0,0,0,0,0
227000,1,5,163,2,0,1,2
227000,3,0,0,0,0,0,0
227000,6,7,243,2,0,27,54
227000,9,7,4717,18,0,162,1515
227000,10,0,0,0,0,0,0
227000,13,0,0,0,0,0,0
227000,15,0,0,0,0,0,0
227000,17,0,0,0,0,0,0
228000,1,5,163,2,0,1,2
228000,3,0,0,0,0,0,0
228000,6,7,246,2,0,26,52
228000,9,7,4723,16,0,165,1573
228000,10,0,0,0,0,0,0
228000,13,0,0,0,0,0,0
228000,15,0,0,0,0,0,0
228000,17,0,0,0,0,0,0
229000,1,5,163,2,0,1,2
229000,3,0,0,0,0,0,0
229000,6,7,241,2,0,20,40
229000,9,7,4647,19,0,166,1604
229000,10,0,0,0,0,0,0
229000,13,0,0,0,0,0,0
229000,15,0,0,0,0,0,0
229000,17,0,0,0,0,0,0
230000,1,5,163,2,0,1,2
230000,3,0,0,0,0,0,0
230000,6,7,243,2,0,20,40
230000,9,7,4589,19,0,170,1662
230000,10,0,0,0,0,0,0
230000,13,0,0,0,0,0,0
230000,15,0,0,0,0,0,0
230000,17,0,0,0,0,0,0
231000,1,5,165,2,0,1,2
231000,3,0,0,0,0,0,0
231000,6,7,235,2,0,20,40
231000,9,7,4664,17,0,167,1612
231000,10,0,0,0,0,0,0
231000,13,0,0,0,0,0,0
231000,15,0,0,0,0,0,0
231000,17,0,0,0,0,0,0
232000,1,5,165,2,0,1,2
232000,3,0,0,0,0,0,0
232000,6,7,243,2,0,20,40
232000,9,7,4681,17,0,170,1667
232000,10,0,0,0,0,0,0
232000,13,0,0,0,0,0,0
232000,15,0,0,0,0,0,0
232000,17,0,0,0,0,0,0
233000,1,5,165,2,0,1,2
233000,3,0,0,0,0,0,0
233000,6,7,205,2,0,20,40
233000,9,7,4485,17,0,166,1598
233000,10,0,0,0,0,0,0
233000,13,0,0,0,0,0,0
233000,15,0,0,0,0,0,0
233000,17,0,0,0,0,0,0
234000,1,5,165,2,0,1,2
234000,3,0,0,0,0,0,0
234000,6,7,241,2,0,20,40
234000,9,7,4699,18,0,169,1652
234000,10,0,0,0,0,0,0
234000,13,0,0,0,0,0,0
234000,15,0,0,0,0,0,0
234000,17,0,0,0,0,0,0
235000,1,5,165,2,0,1,2
235000,3,0,0,0,0,0,0
235000,6,7,213,2,0,20,40
235000,9,7,4500,16,0,168,1630
235000,10,0,0,0,0,0,0
235000,13,0,0,0,0,0,0
235000,15,0,0,0,0,0,0
235000,17,0,0,0,0,0,0
236000,1,5,165,2,0,2,4
236000,3,0,0,0,0,0,0
236000,6,7,243,2,0,20,40
236000,9,7,4705,18,0,168,1631
236000,10,0,0,0,0,0,0
236000,13,0,0,0,0,0,0
236000,15,9,0,2,0,1,2
236000,17,0,0,0,0,0,0
237000,1,5,165,2,0,1,2
237000,3,0,0,0,0,0,0
237000,6,7,239,2,0,20,40
237000,9,7,4712,18,0,170,1667
237000,10,0,0,0,0,0,0
237000,13,0,0,0,0,0,0
237000,15,0,0,0,0,0,0
237000,17,0,0,0,0,0,0
238000,1,5,165,2,0,1,2
238000,3,0,0,0,0,0,0
238000,6,7,203,2,0,20,40
238000,9,7,4506,17,0,168,1629
238000,10,0,0,0,0,0,0
238000,13,0,0,0,0,0,0
238000,15,0,0,0,0,0,0
238000,17,0,0,0,0,0,0
239000,1,5,165,2,0,1,2
239000,3,0,0,0,0,0,0
239000,6,7,243,2,0,20,40
239000,9,7,4735,17,0,165,1568
239000,10,0,0,0,0,0,0
239000,13,0,0,0,0,0,0
239000,15,0,0,0,0,0,0
239000,17,0,0,0,0,0,0
240000,1,5,165,2,0,1,2
240000,3,0,0,0,0,0,0
240000,6,7,243,2,0,20,40
240000,9,7,4758,18,0,170,1682
240000,10,0,0,0,0,0,0
240000,13,0,0,0,0,0,0
240000,15,0,0,0,0,0,0
240000,17,0,0,0,0,0,0
241000,1,5,165,2,0,1,2
241000,3,0,0,0,0,0,0
