sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
3003000,1,0,0,0,0,0,0
3003000,3,0,0,0,0,0,0
3003000,5,0,0,0,0,0,0
3003000,7,0,0,0,0,0,0
3003000,10,0,0,0,0,0,0
3003000,11,0,0,0,0,0,0
3003000,13,0,0,0,0,0,0
3003000,15,0,0,0,0,0,0
3004000,1,9,2402,81,0,81,3388
3004000,3,0,0,0,0,0,0
3004000,5,9,0,2,0,1,2
3004000,7,9,2472,43,0,42,945
3004000,10,9,2495,26,0,27,369
3004000,11,9,2442,67,0,66,2277
3004000,13,7,2491,15,0,17,162
3004000,15,0,0,0,0,0,0
3005000,1,9,4006,81,0,799,33109
3005000,3,9,0,2,0,1,2
3005000,5,0,0,0,0,0,0
3005000,7,9,3994,41,0,400,8578
3005000,10,9,3996,26,0,241,3246
3005000,11,9,3988,67,0,659,22685
3005000,13,7,4013,17,0,160,1483
3005000,15,0,0,0,0,0,0
3006000,1,9,4023,80,0,798,33010
3006000,3,0,0,0,0,0,0
3006000,5,0,0,0,0,0,0
3006000,7,9,3984,42,0,407,8880
3006000,10,9,3990,25,0,247,3387
3006000,11,9,3995,66,0,660,22747
3006000,13,7,4004,16,0,161,1493
3006000,15,0,0,0,0,0,0
3007000,1,9,3563,80,0,801,33257
3007000,3,0,0,0,0,0,0
3007000,5,0,0,0,0,0,0
3007000,7,9,3950,43,0,419,9396
3007000,10,9,3997,26,0,250,3467
3007000,11,9,3972,68,0,675,23747
3007000,13,7,4013,17,0,162,1546
3007000,15,0,0,0,0,0,0
3008000,1,9,3468,77,0,802,33335
3008000,3,0,0,0,0,0,0
3008000,5,0,0,0,0,0,0
3008000,7,9,3995,41,0,413,9121
3008000,10,9,4003,24,0,244,3316
3008000,11,9,3949,67,0,668,23285
3008000,13,7,4026,17,0,162,1543
3008000,15,0,0,0,0,0,0
3009000,1,9,2994,75,0,797,32863
3009000,3,0,0,0,0,0,0
3009000,5,0,0,0,0,0,0
3009000,7,9,3946,42,0,407,8887
3009000,10,9,3984,26,0,245,3348
3009000,11,9,3997,67,0,664,23024
3009000,13,7,4021,17,0,161,1514
3009000,15,0,0,0,0,0,0
3010000,1,9,2730,73,0,799,33116
3010000,3,0,0,0,0,0,0
3010000,5,0,0,0,0,0,0
3010000,7,9,3975,42,0,414,9179
3010000,10,9,3959,25,0,249,3450
3010000,11,9,3972,66,0,663,22950
3010000,13,7,4028,16,0,163,1556
3010000,15,0,0,0,0,0,0
3011000,1,9,2261,70,0,803,33448
3011000,3,0,0,0,0,0,0
3011000,5,0,0,0,0,0,0
3011000,7,9,3941,42,0,415,9203
3011000,10,9,3989,25,0,247,3396
3011000,11,9,3959,68,0,671,23486
3011000,13,7,4027,17,0,163,1526
3011000,15,0,0,0,0,0,0
3012000,1,9,1965,68,0,806,33696
3012000,3,0,0,0,0,0,0
3012000,5,0,0,0,0,0,0
3012000,7,9,3999,41,0,409,8958
3012000,10,9,4029,24,0,238,3165
3012000,11,9,3952,67,0,663,22964
3012000,13,7,4018,17,0,162,1531
3012000,15,0,0,0,0,0,0
3013000,1,9,1808,65,0,801,33303
3013000,3,0,0,0,0,0,0
3013000,5,0,0,0,0,0,0
3013000,7,9,3953,42,0,405,8789
3013000,10,9,3972,25,0,239,3190
3013000,11,9,3841,67,0,660,22749
3013000,13,7,4009,17,0,160,1485
3013000,15,0,0,0,0,0,0
3014000,1,9,1883,62,0,804,33556
3014000,3,0,0,0,0,0,0
3014000,5,9,0,2,0,1,2
3014000,7,9,3980,42,0,417,9255
3014000,10,9,3990,24,0,244,3306
3014000,11,9,3611,64,0,661,22767
3014000,13,7,4014,16,0,162,1516
3014000,15,0,0,0,0,0,0
3015000,1,9,1960,60,0,813,34295
3015000,3,9,0,2,0,1,2
3015000,5,0,0,0,0,0,0
3015000,7,9,3986,42,0,416,9238
3015000,10,9,3993,25,0,239,3200
3015000,11,9,3155,62,0,667,23238
3015000,13,7,4025,17,0,160,1509
3015000,15,0,0,0,0,0,0
3016000,1,9,1981,57,0,805,33644
3016000,3,0,0,0,0,0,0
3016000,5,0,0,0,0,0,0
3016000,7,9,3991,41,0,408,8892
3016000,10,9,3968,25,0,240,3199
3016000,11,9,2883,59,0,660,22710
3016000,13,7,3987,18,0,164,1567
3016000,15,0,0,0,0,0,0
3017000,1,9,2039,54,0,804,33501
3017000,3,0,0,0,0,0,0
3017000,5,0,0,0,0,0,0
3017000,7,9,3972,42,0,411,9066
3017000,10,9,3961,25,0,247,3390
3017000,11,9,2567,56,0,660,22769
3017000,13,7,4028,16,0,164,1560
3017000,15,0,0,0,0,0,0
3018000,1,9,2087,51,0,807,33833
3018000,3,0,0,0,0,0,0
3018000,5,0,0,0,0,0,0
3018000,7,9,3941,43,0,419,9368
3018000,10,9,3988,26,0,247,3395
3018000,11,9,1889,54,0,666,23204
3018000,13,7,4023,17,0,161,1534
3018000,15,0,0,0,0,0,0
3019000,1,9,2162,49,0,813,34312
3019000,3,0,0,0,0,0,0
3019000,5,0,0,0,0,0,0
3019000,7,9,3999,42,0,415,9222
3019000,10,9,4005,24,0,243,3294
3019000,11,9,1796,52,0,671,23541
3019000,13,7,4039,17,0,160,1496
3019000,15,0,0,0,0,0,0
3020000,1,9,2173,46,0,802,33353
3020000,3,0,0,0,0,0,0
3020000,5,0,0,0,0,0,0
3020000,7,9,3695,41,0,410,8996
3020000,10,9,3992,26,0,242,3253
3020000,11,9,1843,49,0,664,23043
3020000,13,7,3995,17,0,163,1545
3020000,15,0,0,0,0,0,0
3021000,1,9,2281,43,0,803,33543
3021000,3,0,0,0,0,0,0
3021000,5,0,0,0,0,0,0
3021000,7,9,3138,38,0,415,9223
3021000,10,9,3954,27,0,251,3483
3021000,11,9,2001,46,0,665,23095
3021000,13,7,3974,18,0,162,1519
3021000,15,0,0,0,0,0,0
3022000,1,9,2368,40,0,812,34285
3022000,3,0,0,0,0,0,0
3022000,5,0,0,0,0,0,0
3022000,7,9,2993,35,0,423,9467
3022000,10,9,4004,26,0,255,3595
3022000,11,9,1949,44,0,680,24094
3022000,13,7,3975,18,0,168,1632
3022000,15,0,0,0,0,0,0
3022000,1,9,2368,40,0,812,34285
3022000,3,0,0,0,0,0,0
3022000,5,0,0,0,0,0,0
3022000,7,9,2993,35,0,423,9467
3022000,10,9,4004,26,0,255,3595
3022000,11,9,1949,44,0,680,24094
3022000,13,7,3975,18,0,168,1632
3022000,15,0,0,0,0,0,0
3023000,1,9,2427,37,0,808,33959
3023000,3,0,0,0,0,0,0
3023000,5,0,0,0,0,0,0
3023000,7,9,2569,32,0,412,9013
3023000,10,9,3966,26,0,250,3486
3023000,11,9,1997,41,0,674,23717
3023000,13,7,4003,17,0,164,1570
3023000,15,0,0,0,0,0,0
3024000,1,9,2488,35,0,810,34101
3024000,3,0,0,0,0,0,0
3024000,5,9,0,2,0,1,2
3024000,7,9,2294,30,0,414,9206
3024000,10,9,3979,26,0,254,3570
3024000,11,9,2076,38,0,676,23925
3024000,13,7,4027,16,0,161,1514
3024000,15,0,0,0,0,0,0
3025000,1,9,2563,32,0,813,34389
3025000,3,9,0,2,0,1,2
3025000,5,0,0,0,0,0,0
3025000,7,9,1791,27,0,420,9470
3025000,10,9,3999,26,0,257,3654
3025000,11,9,2163,35,0,677,24018
3025000,13,7,4038,16,0,163,1501
3025000,15,0,0,0,0,0,0
3026000,1,9,2644,29,0,819,34903
3026000,3,0,0,0,0,0,0
3026000,5,0,0,0,0,0,0
3026000,7,9,1853,25,0,420,9474
3026000,10,9,3868,25,0,255,3595
3026000,11,9,2186,33,0,681,24267
3026000,13,7,4039,17,0,162,1517
3026000,15,0,0,0,0,0,0
3027000,1,9,2678,27,0,811,34201
3027000,3,0,0,0,0,0,0
3027000,5,0,0,0,0,0,0
3027000,7,9,1877,22,0,415,9273
3027000,10,9,3468,23,0,248,3441
3027000,11,9,2266,30,0,673,23726
3027000,13,7,4001,17,0,161,1512
3027000,15,0,0,0,0,0,0
3028000,1,9,2744,24,0,816,34588
3028000,3,0,0,0,0,0,0
3028000,5,0,0,0,0,0,0
3028000,7,9,1967,20,0,431,9964
3028000,10,9,3196,21,0,265,3904
3028000,11,9,2351,27,0,678,24090
3028000,13,7,4028,16,0,165,1580
3028000,15,0,0,0,0,0,0
3029000,1,9,2904,22,0,825,35367
3029000,3,0,0,0,0,0,0
3029000,5,0,0,0,0,0,0
3029000,7,9,2008,17,0,430,9908
3029000,10,9,2742,18,0,263,3847
3029000,11,9,2409,24,0,679,24197
3029000,13,7,4027,16,0,165,1564
3029000,15,0,0,0,0,0,0
3030000,1,9,2955,19,0,820,35009
3030000,3,0,0,0,0,0,0
3030000,5,0,0,0,0,0,0
3030000,7,9,2061,14,0,423,9630
3030000,10,9,2281,15,0,255,3632
3030000,11,9,2455,21,0,674,23845
3030000,13,7,4014,17,0,161,1514
3030000,15,0,0,0,0,0,0
3031000,1,9,3042,16,0,817,34776
3031000,3,0,0,0,0,0,0
3031000,5,0,0,0,0,0,0
3031000,7,9,2281,12,0,430,9930
3031000,10,9,1780,12,0,264,3899
3031000,11,9,2526,18,0,671,23625
3031000,13,7,3879,17,0,164,1563
3031000,15,0,0,0,0,0,0
3032000,1,9,3129,13,0,819,34947
3032000,3,0,0,0,0,0,0
3032000,5,0,0,0,0,0,0
3032000,7,9,2187,9,0,433,10107
3032000,10,9,1847,9,0,263,3890
3032000,11,9,2633,15,0,675,23923
3032000,13,7,3764,16,0,162,1523
3032000,15,0,0,0,0,0,0
3033000,1,9,3215,10,0,829,35802
3033000,3,0,0,0,0,0,0
3033000,5,0,0,0,0,0,0
3033000,7,9,2263,6,0,434,10122
3033000,10,9,1879,7,0,264,3900
3033000,11,9,2682,12,0,678,24146
3033000,13,7,3328,13,0,162,1544
3033000,15,0,0,0,0,0,0
3034000,1,9,3475,8,0,829,35749
3034000,3,0,0,0,0,0,0
3034000,5,9,0,2,0,1,2
3034000,7,9,2315,3,0,435,10185
3034000,10,9,1957,4,0,266,3965
3034000,11,9,2792,9,0,675,23826
3034000,13,7,2709,10,0,161,1532
3034000,15,0,0,0,0,0,0
3035000,1,9,3438,5,0,826,35565
3035000,3,9,0,2,0,1,2
3035000,5,0,0,0,0,0,0
3035000,7,9,3981,45,0,447,10734
3035000,10,9,3969,2,0,279,4355
3035000,11,9,3040,7,0,679,24042
3035000,13,7,2252,7,0,162,1576
3035000,15,0,0,0,0,0,0
3036000,1,9,4012,2,0,829,35834
3036000,3,0,0,0,0,0,0
3036000,5,0,0,0,0,0,0
3036000,7,9,3962,46,0,447,10633
3036000,10,9,3990,29,0,277,4256
3036000,11,9,2954,3,0,679,24294
3036000,13,7,1952,4,0,160,1527
3036000,15,0,0,0,0,0,0
3037000,1,9,4034,83,0,828,35510
3037000,3,0,0,0,0,0,0
3037000,5,0,0,0,0,0,0
3037000,7,9,4003,44,0,441,10364
3037000,10,9,4027,27,0,271,4050
3037000,11,9,3928,68,0,675,23852
3037000,13,7,4014,16,0,158,1506
3037000,15,0,0,0,0,0,0
3038000,1,9,4033,83,0,826,35263
3038000,3,0,0,0,0,0,0
3038000,5,0,0,0,0,0,0
3038000,7,9,3975,45,0,448,10684
3038000,10,9,3965,28,0,277,4222
3038000,11,9,3999,68,0,678,23897
3038000,13,7,4029,16,0,165,1585
3038000,15,0,0,0,0,0,0
3039000,1,9,3952,84,0,830,35562
3039000,3,0,0,0,0,0,0
3039000,5,0,0,0,0,0,0
3039000,7,9,3962,45,0,448,10692
3039000,10,9,4010,28,0,276,4189
3039000,11,9,3978,69,0,680,24118
3039000,13,7,4044,16,0,165,1564
3039000,15,0,0,0,0,0,0
3040000,1,9,4006,83,0,829,35330
3040000,3,0,0,0,0,0,0
3040000,5,0,0,0,0,0,0
3040000,7,9,4004,45,0,446,10609
3040000,10,9,4016,27,0,275,4135
3040000,11,9,3963,68,0,680,24103
3040000,13,7,4044,17,0,166,1614
3040000,15,0,0,0,0,0,0
3041000,1,9,3961,83,0,823,35072
3041000,3,0,0,0,0,0,0
3041000,5,0,0,0,0,0,0
3041000,7,9,3933,47,0,449,10715
3041000,10,9,3996,29,0,277,4239
3041000,11,9,3938,68,0,677,23885
3041000,13,7,4021,18,0,163,1554
3041000,15,0,0,0,0,0,0
3042000,1,9,4010,83,0,824,35149
3042000,3,0,0,0,0,0,0
3042000,5,0,0,0,0,0,0
3042000,7,9,3978,46,0,455,10953
3042000,10,9,3971,29,0,281,4316
3042000,11,9,3957,69,0,679,24056
3042000,13,7,3993,17,0,165,1581
3042000,15,0,0,0,0,0,0
3043000,1,9,3414,81,0,824,35086
3043000,3,0,0,0,0,0,0
3043000,5,0,0,0,0,0,0
3043000,7,9,3965,46,0,458,11027
3043000,10,9,3992,28,0,285,4353
3043000,11,9,3897,69,0,678,23707
3043000,13,7,4035,17,0,175,1769
3043000,15,0,0,0,0,0,0
3044000,1,9,3244,79,0,834,36006
3044000,3,0,0,0,0,0,0
3044000,5,9,0,2,0,1,2
3044000,7,9,3991,46,0,456,10990
3044000,10,9,3963,29,0,282,4302
3044000,11,9,3971,68,0,676,23831
3044000,13,7,3974,17,0,167,1623
3044000,15,0,0,0,0,0,0
3045000,1,9,2710,77,0,830,35683
3045000,3,9,0,2,0,1,2
3045000,5,0,0,0,0,0,0
3045000,7,9,3935,48,0,460,11245
3045000,10,9,3979,29,0,283,4402
3045000,11,9,3956,69,0,675,23777
3045000,13,7,4026,17,0,161,1508
3045000,15,0,0,0,0,0,0
3046000,1,9,2410,74,0,828,35539
3046000,3,0,0,0,0,0,0
3046000,5,0,0,0,0,0,0
3046000,7,9,3943,47,0,462,11339
3046000,10,9,3991,29,0,281,4343
3046000,11,9,3972,68,0,676,23851
3046000,13,7,4018,17,0,161,1523
3046000,15,0,0,0,0,0,0
3047000,1,9,2134,71,0,836,36206
3047000,3,0,0,0,0,0,0
3047000,5,0,0,0,0,0,0
3047000,7,9,3999,47,0,471,11773
3047000,10,9,4008,29,0,288,4546
3047000,11,9,3944,68,0,679,24030
3047000,13,7,4029,17,0,163,1553
3047000,15,0,0,0,0,0,0
3048000,1,9,1792,69,0,830,35699
3048000,3,0,0,0,0,0,0
3048000,5,0,0,0,0,0,0
3048000,7,9,3956,48,0,465,11480
3048000,10,9,3977,30,0,284,4399
3048000,11,9,3988,68,0,668,23294
3048000,13,7,4016,17,0,163,1539
3048000,15,0,0,0,0,0,0
3049000,1,9,1850,65,0,830,35738
3049000,3,0,0,0,0,0,0
3049000,5,0,0,0,0,0,0
3049000,7,9,3993,48,0,476,12002
3049000,10,9,3938,29,0,292,4692
3049000,11,9,3735,65,0,671,23338
